City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Longyearbyen,SJ,2022-10-16 21:47:50,78.2186,15.6401,24.64,68,20,9.22
151,Marzuq,YE,2022-10-16 21:47:51,14.4,46.4667,69.76,64,19,1.36
152,Verkhnyaya Inta,RU,2022-10-16 21:47:51,65.9811,60.3094,38.19,96,100,10.04
153,Pangnirtung,CA,2022-10-16 21:47:51,66.1451,-65.7125,42.66,95,100,7.87
154,Upernavik,GL,2022-10-16 21:47:52,72.7868,-56.1549,35.38,96,100,10.07
155,Jamestown,US,2022-10-16 21:45:31,42.097,-79.2353,60.44,27,75,12.66
156,Matagami,CA,2022-10-16 21:47:52,49.7502,-77.6328,42.91,75,75,4.61
157,Matara,LK,2022-10-16 21:47:53,5.9485,80.5353,75.72,88,99,4.47
158,Wanxian,CN,2022-10-16 21:47:53,30.8039,108.3897,62.44,79,33,2.82
159,Nikolskoye,RU,2022-10-16 21:47:53,59.7035,30.7861,51.69,92,100,12.93
160,Billings,US,2022-10-16 21:46:49,45.7833,-108.5007,66.29,35,40,5.99
161,Algiers,DZ,2022-10-16 21:44:27,36.7525,3.042,69.62,88,100,2.3
162,Palmer,US,2022-10-16 21:47:54,42.1584,-72.3287,63.21,52,40,0.0
163,Mapiripan,CO,2022-10-16 21:47:54,2.8892,-72.1256,78.76,76,98,7.0
164,Lorengau,PG,2022-10-16 21:47:13,-2.0226,147.2712,82.4,77,96,6.71
165,Vestmannaeyjar,IS,2022-10-16 21:47:55,63.4427,-20.2734,40.17,70,15,12.91
166,Biak,ID,2022-10-16 21:47:55,-0.9131,122.8766,76.77,84,72,1.86
167,Clovis,US,2022-10-16 21:47:56,36.8252,-119.7029,82.62,48,20,4.61
168,Santa Cruz,BO,2022-10-16 21:45:04,-17.8,-63.1667,89.65,43,20,5.75
169,Aloleng,PH,2022-10-16 21:47:56,16.1307,119.7824,80.24,81,98,12.82
170,Shetpe,KZ,2022-10-16 21:46:40,44.1667,52.1167,48.31,49,100,7.0
171,Salmas,IR,2022-10-16 21:47:56,38.1973,44.7653,58.95,31,6,3.31
172,Araouane,ML,2022-10-16 21:47:57,18.9048,-3.5265,88.99,8,82,7.72
173,Vila Franca Do Campo,PT,2022-10-16 21:47:57,37.7167,-25.4333,64.2,71,86,8.19
174,Dharchula,IN,2022-10-16 21:47:57,29.85,80.5333,58.53,47,0,6.69
175,Yarada,IN,2022-10-16 21:47:58,17.65,83.2667,79.12,100,40,2.3
176,Palana,RU,2022-10-16 21:47:58,59.1167,159.9667,26.01,90,100,8.1
177,Axim,GH,2022-10-16 21:47:59,4.8699,-2.2405,77.25,87,97,5.5
178,Sinnamary,GF,2022-10-16 21:47:59,5.3833,-52.95,79.88,82,92,9.17
179,Lagoa,PT,2022-10-16 21:47:59,39.05,-27.9833,65.79,64,51,25.05
180,Bria,CF,2022-10-16 21:48:00,6.5423,21.9863,69.28,96,97,0.69
