City ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
492,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
496,Carutapera,BR,78.93,clear sky,-1.195,-46.02,Lidera
500,Sinazongwe,ZM,75.31,broken clouds,-17.2614,27.4618,Lakeview Lodge
508,Mabaruma,GY,76.68,broken clouds,8.2,-59.7833,Monty Brooms Guest House
513,Salinopolis,BR,79.92,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
516,Eyl,SO,76.66,light rain,7.9803,49.8164,EYL AQUE SYSTEM
517,Castanos,MX,78.42,scattered clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
519,San Policarpo,PH,84.6,moderate rain,12.1791,125.5072,Agapita M. Nicart
522,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
531,Alta Floresta,BR,75.65,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
535,Sola,VU,80.53,broken clouds,-13.8833,167.55,Leumerus Bungalows
538,Banugao,PH,85.75,broken clouds,14.7333,121.6333,WMV Hotel & Restaurant
554,Arlit,NE,82.98,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
555,Estelle,US,77.0,overcast clouds,29.8458,-90.1067,Ohio
556,Katherine,AU,91.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
559,Hasaki,JP,76.21,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
561,Waingapu,ID,84.76,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
562,Malitbog,PH,82.15,overcast clouds,8.5339,124.8831,Balay sa Gwapo
571,Port-Gentil,GA,77.38,light rain,-0.7193,8.7815,Fengshui Residence
575,Siavonga,ZM,76.6,broken clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
577,Babu,CN,79.16,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
578,Wanning,CN,79.92,overcast clouds,18.8003,110.3967,Paradise Hotel
579,Contai,IN,77.95,few clouds,21.7786,87.7536,PATHFINDER
582,Teknaf,BD,79.93,broken clouds,20.8624,92.3058,Forestry Guesthouse
590,Jaicos,BR,77.31,clear sky,-7.3592,-41.1378,Hotel Jaicós
591,Amahai,ID,85.24,broken clouds,-3.3333,128.9167,HOTEL ISABELA
592,Isla Aguada,MX,82.38,light rain,18.7833,-91.4667,Freedom Shores
593,Vung Tau,VN,80.26,overcast clouds,10.346,107.0843,Seaside Resort
597,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
598,Honiara,SB,87.53,scattered clouds,-9.4333,159.95,Heritage Park Hotel
599,Tabuk,PH,83.01,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
600,Mangrol,IN,76.84,few clouds,21.1167,70.1167,Hotel The Royal Honours
615,Jieshi,CN,76.5,light rain,22.8134,115.8257,Yuehai Hotel
625,Kupang,ID,90.18,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
627,Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
628,Kulhudhuffushi,MV,80.92,overcast clouds,6.6221,73.07,Haajy Guest House 1
637,Filingue,NE,86.58,clear sky,14.3521,3.3168,Chez Zarkilou Issa
640,Osmena,PH,83.93,moderate rain,10.5208,119.9258,Arjemarkyza Lodge
641,Labuhan,ID,84.47,light rain,-6.8844,112.2051,DoubleFAG
643,Alice Springs,AU,88.21,clear sky,-23.7,133.8833,Desert Palms Alice Springs
644,Matara,LK,77.99,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
647,Tulum,MX,77.74,light rain,20.2167,-87.4667,Kin Ha Tulum
657,Panaba,MX,79.88,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
659,Bhatgaon,IN,77.18,mist,21.15,81.7,Manish Tarak
660,Naliya,IN,80.55,clear sky,23.2667,68.8333,jadeja jayendrasinh
664,Kavaratti,IN,81.25,overcast clouds,10.5669,72.642,Green leaf
675,Campina Verde,BR,80.6,broken clouds,-19.5356,-49.4864,Hotel Lino
676,Non Sung,TH,80.19,clear sky,15.1801,102.2569,บ้านของกลอยใจ
684,Abu Kamal,SY,78.17,overcast clouds,34.4506,40.9171,البوكمال
691,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
696,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Beach Rotana
703,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
707,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
708,Sibolga,ID,80.89,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
711,Chabahar,IR,79.12,clear sky,25.2919,60.643,هتل گدروشیا
715,Rio Verde De Mato Grosso,BR,82.09,broken clouds,-18.9181,-54.8442,Quedas Palace Hotel
